
厦门移动,#genre#
大湾区卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227214/1.m3u8

三沙卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227172/1.m3u8

康巴卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225856/1.m3u8

凤凰中文,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227222/1.m3u8

凤凰资讯,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227226/1.m3u8

CETV1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227067/1.m3u8

CETV2,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227206/1.m3u8

CETV4,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227192/1.m3u8

金鹰卡通,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227018/1.m3u8

卡酷少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225871/1.m3u8

哈哈炫动,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225872/1.m3u8

动漫秀场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227071/1.m3u8

嘉佳卡通,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227230/1.m3u8

优漫卡通,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225874/1.m3u8

游戏风云,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227075/1.m3u8

乐游,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227083/1.m3u8

纪实人文,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225946/1.m3u8

中国天气,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227210/1.m3u8

冬奥纪实,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225944/1.m3u8

金鹰纪实,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226937/1.m3u8

欢笑剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227145/1.m3u8

都市剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227204/1.m3u8

法治天地,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227176/1.m3u8

东方财经,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227087/1.m3u8

金色学堂,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227208/1.m3u8

快乐垂钓,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226940/1.m3u8

生活时尚,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227091/1.m3u8

先锋乒羽,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226851/1.m3u8

茶频道,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226859/1.m3u8

山东教育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225873/1.m3u8

黑莓电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225891/1.m3u8

黑莓动画,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225878/1.m3u8

哒啵赛事,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225894/1.m3u8

哒啵电竞,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227252/1.m3u8

分屏预览,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226664/1.m3u8

纯享4K4K,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226825/1.m3u8

芒果TV4K,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226887/1.m3u8

NewTV潮妈辣婆,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226107/1.m3u8

NewTV爱情喜剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225877/1.m3u8

NewTV动作电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225879/1.m3u8

NewTV古装剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225880/1.m3u8

NewTV武搏世界,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225881/1.m3u8

NewTV家庭剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225882/1.m3u8

NewTV怡伴健康,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225883/1.m3u8

NewTV金牌综艺,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225884/1.m3u8

NewTV惊悚悬疑,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225885/1.m3u8

NewTV精品体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225886/1.m3u8

NewTV军旅剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225887/1.m3u8

NewTV精品纪录,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225888/1.m3u8

NewTV精品大剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225889/1.m3u8

NewTV军事评论,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225890/1.m3u8

NewTV明星大片,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225893/1.m3u8

NewTV中国功夫,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8

NewTV炫舞未来,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226699/1.m3u8

NewTV精品萌宠,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227183/1.m3u8

睛彩青少,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227314/index.m3u8

